q_A^-1,E_v_eV,E_c1_eV,E_c2_eV,E_c3_eV
-1.527000000000000024e-01,-3.562541651602382231e-01,3.615244690670087191e-02,5.432394967673934844e-02,5.432394967673934844e-02
-1.524000000000000077e-01,-3.547379579278747697e-01,3.608904187698385585e-02,5.418921398859067456e-02,5.418921398859067456e-02
-1.520999999999999852e-01,-3.532247324206485573e-01,3.602576153759076000e-02,5.405474326738036323e-02,5.405474326738036323e-02
-1.517999999999999905e-01,-3.517144886385599190e-01,3.596260588852159129e-02,5.392053751310838666e-02,5.392053751310837278e-02
-1.514999999999999958e-01,-3.502072265816087437e-01,3.589957492977636361e-02,5.378659672577475875e-02,5.378659672577475875e-02
-1.512000000000000011e-01,-3.487029462497948096e-01,3.583666866135504919e-02,5.365292090537949338e-02,5.365292090537946562e-02
-1.509000000000000064e-01,-3.472016476431183385e-01,3.577388708325767580e-02,5.351951005192254890e-02,5.351951005192253502e-02
-1.505999999999999839e-01,-3.457033307615789974e-01,3.571123019548421568e-02,5.338636416540395307e-02,5.338636416540393920e-02
-1.502999999999999892e-01,-3.442079956051773415e-01,3.564869799803468270e-02,5.325348324582370590e-02,5.325348324582369203e-02
-1.499999999999999944e-01,-3.427156421739129266e-01,3.558629049090908381e-02,5.312086729318180739e-02,5.312086729318180739e-02
-1.496999999999999997e-01,-3.412262704677860858e-01,3.552400767410741206e-02,5.298851630747825753e-02,5.298851630747825753e-02
-1.494000000000000050e-01,-3.397398804867964861e-01,3.546184954762967440e-02,5.285643028871304244e-02,5.285643028871304244e-02
-1.491000000000000103e-01,-3.382564722309443495e-01,3.539981611147585000e-02,5.272460923688618989e-02,5.272460923688618989e-02
-1.487999999999999878e-01,-3.367760457002294538e-01,3.533790736564595275e-02,5.259305315199765823e-02,5.259305315199764436e-02
-1.484999999999999931e-01,-3.352986008946521324e-01,3.527612331013999653e-02,5.246176203404749605e-02,5.246176203404747523e-02
-1.481999999999999984e-01,-3.338241378142121629e-01,3.521446394495796051e-02,5.233073588303566170e-02,5.233073588303564783e-02
-1.479000000000000037e-01,-3.323526564589095456e-01,3.515292927009985163e-02,5.219997469896218989e-02,5.219997469896217601e-02
-1.476000000000000090e-01,-3.308841568287442803e-01,3.509151928556566991e-02,5.206947848182705285e-02,5.206947848182703203e-02
-1.472999999999999865e-01,-3.294186389237164780e-01,3.503023399135541532e-02,5.193924723163025753e-02,5.193924723163024365e-02
-1.469999999999999918e-01,-3.279561027438260279e-01,3.496907338746908789e-02,5.180928094837180392e-02,5.180928094837179004e-02
-1.466999999999999971e-01,-3.264965482890730408e-01,3.490803747390668760e-02,5.167957963205169897e-02,5.167957963205169897e-02
-1.464000000000000024e-01,-3.250399755594574058e-01,3.484712625066821445e-02,5.155014328266995655e-02,5.155014328266994961e-02
-1.461000000000000076e-01,-3.235863845549791229e-01,3.478633971775366845e-02,5.142097190022654890e-02,5.142097190022653502e-02
