path_A^-1,kx_A^-1,ky_A^-1,E_v_eV,E_c1_eV,E_v_local,E_c1_local
2.873665596503980901e-01,8.959075094983000032e-01,0.000000000000000000e+00,-1.326601374111174714e+01,4.104130731482452665e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.907473427051086579e-01,8.925267264435894354e-01,0.000000000000000000e+00,-1.316585580207225981e+01,4.088107440642043677e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.941281257598192256e-01,8.891459433888788677e-01,0.000000000000000000e+00,-1.306607653198944163e+01,4.072301884451721143e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.975089088145297933e-01,8.857651603341683000e-01,0.000000000000000000e+00,-1.296667593086329617e+01,4.056714062911485064e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.008896918692403610e-01,8.823843772794577323e-01,0.000000000000000000e+00,-1.286765399869381810e+01,4.041343976021334328e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.042704749239508732e-01,8.790035942247471645e-01,0.000000000000000000e+00,-1.276901073548101628e+01,4.026191623781268936e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.076512579786614965e-01,8.756228111700365968e-01,0.000000000000000000e+00,-1.267074614122488008e+01,4.011257006191289998e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.110320410333720642e-01,8.722420281153260291e-01,0.000000000000000000e+00,-1.257286021592541658e+01,3.996540123251396404e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.144128240880826319e-01,8.688612450606154614e-01,0.000000000000000000e+00,-1.247535295958262402e+01,3.982040974961589264e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.177936071427931997e-01,8.654804620059048936e-01,0.000000000000000000e+00,-1.237822437219650595e+01,3.967759561321868578e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.211743901975037119e-01,8.620996789511943259e-01,0.000000000000000000e+00,-1.228147445376705527e+01,3.953695882332232125e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.245551732522143351e-01,8.587188958964837582e-01,0.000000000000000000e+00,-1.218510320429427551e+01,3.939849937992682127e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.279359563069249028e-01,8.553381128417731905e-01,0.000000000000000000e+00,-1.208911062377816847e+01,3.926221728303217473e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.313167393616354706e-01,8.519573297870626227e-01,0.000000000000000000e+00,-1.199349671221873059e+01,3.912811253263839273e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.346975224163460383e-01,8.485765467323520550e-01,0.000000000000000000e+00,-1.189826146961596542e+01,3.899618512874547527e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.380783054710565505e-01,8.451957636776414873e-01,0.000000000000000000e+00,-1.180340489596987297e+01,3.886643507135341125e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.414590885257671737e-01,8.418149806229309196e-01,0.000000000000000000e+00,-1.170892699128044967e+01,3.873886236046220066e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.448398715804776860e-01,8.384341975682203518e-01,0.000000000000000000e+00,-1.161482775554769553e+01,3.861346699607185462e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.482206546351882537e-01,8.350534145135097841e-01,0.000000000000000000e+00,-1.152110718877161410e+01,3.849024897818236202e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.516014376898988769e-01,8.316726314587992164e-01,0.000000000000000000e+00,-1.142776529095220361e+01,3.836920830679373395e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.549822207446093891e-01,8.282918484040886486e-01,0.000000000000000000e+00,-1.133480206208946228e+01,3.825034498190595933e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.583630037993200124e-01,8.249110653493780809e-01,0.000000000000000000e+00,-1.124221750218339544e+01,3.813365900351903814e-01,0.000000000000000000e+00,0.000000000000000000e+00
