u,kx_A^-1,ky_A^-1,E_v_eV,E_c1_periodic_chart_eV
-1.180000000000000160e+00,1.047197551196597853e+00,6.045997880780726863e-01,-2.419094447640823020e+01,4.356878616883788635e-02
-1.178749999999999964e+00,1.046088231756770792e+00,6.039593222008713402e-01,-2.413965609592872141e+01,4.324257852848018696e-02
-1.177499999999999991e+00,1.044978912316943953e+00,6.033188563236699942e-01,-2.408842207515295897e+01,4.291864411209716373e-02
-1.176250000000000018e+00,1.043869592877116892e+00,6.026783904464686481e-01,-2.403724241408093221e+01,4.259698291968869871e-02
-1.175000000000000044e+00,1.042760273437290053e+00,6.020379245692673020e-01,-2.398611711271265179e+01,4.227759495125490985e-02
-1.173750000000000071e+00,1.041650953997463214e+00,6.013974586920659560e-01,-2.393504617104811771e+01,4.196048020679573470e-02
-1.172500000000000098e+00,1.040541634557636375e+00,6.007569928148646099e-01,-2.388402958908732288e+01,4.164563868631118021e-02
-1.171250000000000124e+00,1.039432315117809535e+00,6.001165269376632638e-01,-2.383306736683026728e+01,4.133307038980123943e-02
-1.169999999999999929e+00,1.038322995677982474e+00,5.994760610604618067e-01,-2.378215950427694381e+01,4.102277531726585685e-02
-1.168749999999999956e+00,1.037213676238155413e+00,5.988355951832604607e-01,-2.373130600142735958e+01,4.071475346870510187e-02
-1.167499999999999982e+00,1.036104356798328574e+00,5.981951293060591146e-01,-2.368050685828152879e+01,4.040900484411901611e-02
-1.166250000000000009e+00,1.034995037358501735e+00,5.975546634288578796e-01,-2.362976207483943369e+01,4.010552944350756488e-02
-1.165000000000000036e+00,1.033885717918674896e+00,5.969141975516565335e-01,-2.357907165110108849e+01,3.980432726687071349e-02
-1.163750000000000062e+00,1.032776398478848057e+00,5.962737316744551874e-01,-2.352843558706647542e+01,3.950539831420848275e-02
-1.162500000000000089e+00,1.031667079039021218e+00,5.956332657972538414e-01,-2.347785388273560514e+01,3.920874258552086572e-02
-1.161250000000000115e+00,1.030557759599194156e+00,5.949927999200524953e-01,-2.342732653810847054e+01,3.891436008080781384e-02
-1.160000000000000142e+00,1.029448440159367317e+00,5.943523340428511492e-01,-2.337685355318507874e+01,3.862225080006943118e-02
-1.158749999999999947e+00,1.028339120719540256e+00,5.937118681656496921e-01,-2.332643492796542972e+01,3.833241474330562060e-02
-1.157499999999999973e+00,1.027229801279713417e+00,5.930714022884483461e-01,-2.327607066244951639e+01,3.804485191051647924e-02
-1.156250000000000000e+00,1.026120481839886578e+00,5.924309364112470000e-01,-2.322576075663735651e+01,3.775956230170195160e-02
-1.155000000000000027e+00,1.025011162400059739e+00,5.917904705340456539e-01,-2.317550521052893231e+01,3.747654591686203768e-02
-1.153750000000000053e+00,1.023901842960232678e+00,5.911500046568444189e-01,-2.312530402412424380e+01,3.719580275599671665e-02
-1.152500000000000080e+00,1.022792523520405839e+00,5.905095387796430728e-01,-2.307515719742330162e+01,3.691733281910603709e-02
-1.151250000000000107e+00,1.021683204080578999e+00,5.898690729024417267e-01,-2.302506473042609514e+01,3.664113610618998512e-02
-1.150000000000000133e+00,1.020573884640752160e+00,5.892286070252403807e-01,-2.297502662313263855e+01,3.636721261724854687e-02
-1.148750000000000160e+00,1.019464565200925321e+00,5.885881411480390346e-01,-2.292504287554291409e+01,3.609556235228172233e-02
-1.147499999999999964e+00,1.018355245761098260e+00,5.879476752708375775e-01,-2.287511348765692887e+01,3.582618531128946987e-02
-1.146249999999999991e+00,1.017245926321271199e+00,5.873072093936362315e-01,-2.282523845947468288e+01,3.555908149427184500e-02
-1.145000000000000018e+00,1.016136606881444360e+00,5.866667435164348854e-01,-2.277541779099618324e+01,3.529425090122887548e-02
-1.143750000000000044e+00,1.015027287441617521e+00,5.860262776392335393e-01,-2.272565148222142994e+01,3.503169353216052662e-02
-1.142500000000000071e+00,1.013917968001790681e+00,5.853858117620321933e-01,-2.267593953315041233e+01,3.477140938706679840e-02
-1.141250000000000098e+00,1.012808648561963842e+00,5.847453458848309582e-01,-2.262628194378314106e+01,3.451339846594769084e-02
-1.140000000000000124e+00,1.011699329122136781e+00,5.841048800076296121e-01,-2.257667871411959837e+01,3.425766076880315536e-02
-1.138749999999999929e+00,1.010590009682309720e+00,5.834644141304281550e-01,-2.252712984415979491e+01,3.400419629563323359e-02
-1.137499999999999956e+00,1.009480690242482881e+00,5.828239482532268090e-01,-2.247763533390374135e+01,3.375300504643796717e-02
-1.136249999999999982e+00,1.008371370802656042e+00,5.821834823760254629e-01,-2.242819518335143414e+01,3.350408702121732835e-02
-1.135000000000000009e+00,1.007262051362829203e+00,5.815430164988241168e-01,-2.237880939250286616e+01,3.325744221997130323e-02
